,filename,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
213,30-46-620-I-B-user41_openface.csv,1.0,0.98,1.0,-0.075724,0.224872,-0.971441,-0.150698,0.224617,-0.962724,-0.117,0.228,14.8,32.6,314.8,0.051,0.07400000000000001,0.023,0.13,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.98,0.12,2.36,0.0,1.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,30-46-620-W-B-user42_openface.csv,0.0,0.98,1.0,0.118398,0.31901,-0.940327,-0.229985,0.368993,-0.9005280000000001,-0.061,0.358,18.9,-33.1,361.2,0.037000000000000005,0.106,0.006999999999999999,1.23,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.0,0.0,0.03,0.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
215,30-57-338-I-T-user89_openface.csv,5.2,0.98,1.0,0.25105700000000003,0.295493,-0.921767,0.025469,0.299426,-0.953779,0.146,0.307,-19.4,19.6,353.9,0.06,-0.097,-0.022,0.89,0.04,0.6,0.0,0.76,0.92,0.0,0.75,1.23,0.67,0.56,0.87,0.47,0.0,2.23,1.08,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
216,30-57-338-W-T-user88_openface.csv,0.867,0.98,1.0,0.06991,0.168101,-0.983288,-0.15203599999999998,0.177145,-0.972371,-0.042,0.175,23.4,35.0,324.7,-0.119,0.029,-0.034,0.13,0.0,0.0,0.0,0.0,0.12,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.64,0.43,0.38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
217,31-08-51-I-B-user1_openface.csv,0.0,0.98,1.0,0.172345,0.151955,-0.973246,0.008452,0.15186,-0.988366,0.092,0.154,12.9,30.0,351.3,-0.021,0.046,-0.006999999999999999,0.81,0.31,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.15,0.18,0.08,0.54,0.72,0.3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,31-23-340-I-T-user39_openface.csv,0.0,0.98,1.0,0.11759,0.152051,-0.981353,-0.045303,0.13241,-0.990159,0.037000000000000005,0.14300000000000002,15.1,-36.0,398.5,-0.03,0.044,0.009000000000000001,0.0,0.41,0.0,0.33,0.2,0.0,0.31,0.0,0.19,1.43,0.0,0.35,2.06,0.82,0.07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
219,31-59-194-I-T-user1_openface.csv,5.067,0.98,1.0,0.019129,0.100707,-0.994732,-0.177531,0.027198000000000003,-0.983739,-0.08,0.065,23.0,40.4,301.7,-0.063,0.086,-0.022,0.91,0.0,0.65,1.1,0.5,0.0,0.0,0.58,1.27,2.76,0.16,0.18,0.0,0.77,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,31-59-194-W-T-user69_openface.csv,64.067,0.98,1.0,0.132075,0.105696,-0.985588,-0.159916,0.02949,-0.98669,-0.014,0.068,50.8,64.0,277.3,-0.061,-0.114,-0.004,2.22,2.02,0.4,2.04,0.0,0.0,0.0,0.0,0.11,1.48,0.0,0.43,0.0,1.72,0.07,0.34,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
221,33-07-644-I-B-user70_openface.csv,15.0,0.98,1.0,-0.059478,0.333543,-0.940857,-0.172569,0.302161,-0.937506,-0.123,0.326,54.0,-47.6,445.5,0.047,0.102,-0.033,0.18,0.0,1.63,0.14,0.0,0.0,0.0,0.17,0.21,1.65,0.91,0.85,0.3,0.02,0.28,0.0,0.64,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
222,33-07-644-W-B-user71_openface.csv,1.467,0.98,1.0,0.083328,0.075839,-0.993632,0.070864,0.180504,-0.981018,0.078,0.129,4.6,-28.3,430.6,-0.113,-0.029,0.013,0.0,0.0,1.19,0.0,1.58,1.21,0.05,2.06,1.73,0.23,0.0,0.0,0.0,0.0,1.89,0.61,0.01,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
